frame	cX	cY	area	minI	maxI	meanI	video
33126	436	51	13.0	116.0	179.0	243.14285714285714	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33126	444	51	12.5	114.0	252.0	241.47619047619045	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33126	405	52	15.5	114.0	180.0	238.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33122	444	50	7.5	118.0	178.0	244.42857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33121	444	49	6.5	118.0	178.0	233.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33125	437	51	9.5	116.0	179.0	245.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33125	444	51	14.0	120.0	245.0	243.72727272727275	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33125	405	52	10.5	111.0	179.0	234.2222222222222	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33123	444	51	9.5	117.0	178.0	253.76470588235293	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33120	443	48	2.5	117.0	160.0	113.28571428571428	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33124	436	50	2.0	126.0	158.0	245.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33124	444	51	11.5	120.0	179.0	253.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33124	405	52	5.5	124.0	177.0	241.84615384615387	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33129	436	51	14.0	115.0	179.0	243.04545454545456	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33129	444	51	18.0	114.0	254.0	238.37037037037035	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33129	404	52	16.0	112.0	179.0	242.48000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33131	436	50	11.0	111.0	179.0	245.7222222222222	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33131	444	51	17.0	112.0	253.0	241.96153846153848	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33131	404	52	12.5	120.0	178.0	244.60000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33134	437	50	6.0	126.0	175.0	246.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33134	405	51	7.5	118.0	178.0	234.26666666666665	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33134	444	50	15.0	113.0	178.0	249.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33128	437	51	14.5	121.0	179.0	244.78260869565216	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33128	444	51	18.0	111.0	252.0	240.2222222222222	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33128	404	52	15.5	124.0	179.0	241.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33133	436	50	7.5	117.0	178.0	238.92857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33133	405	51	10.0	115.0	178.0	231.52941176470588	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33133	444	50	15.5	111.0	252.0	236.96	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33132	437	50	7.0	113.0	178.0	237.92857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33132	405	51	9.5	114.0	179.0	238.8235294117647	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33132	444	51	17.0	116.0	254.0	236.26923076923077	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33130	436	50	11.5	113.0	179.0	248.05263157894734	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33130	444	51	18.0	111.0	252.0	236.74074074074073	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
33130	405	52	11.0	111.0	179.0	240.15789473684208	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/16Apr25/041625PA_experimental/041625PA_experimental_part04.mp4
