frame	cX	cY	area	minI	maxI	meanI	video
1383	671	86	9.5	121.0	179.0	252.1875	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1382	670	86	11.5	112.0	179.0	243.68421052631578	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1379	671	86	1.5	129.0	177.0	233.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1384	671	86	8.0	141.0	179.0	250.92857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1380	671	86	5.5	113.0	179.0	228.08333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1381	671	86	6.5	135.0	179.0	242.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1378	670	86	3.5	112.0	178.0	238.875	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1392	672	86	2.0	138.0	178.0	246.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1390	672	86	7.0	119.0	179.0	254.46153846153848	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1387	672	86	10.0	111.0	179.0	252.35294117647058	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1386	671	86	8.0	141.0	179.0	250.92857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1391	672	86	6.5	113.0	179.0	251.53846153846155	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1389	672	86	7.0	116.0	179.0	252.78571428571428	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1388	671	86	6.5	112.0	178.0	253.3846153846154	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1385	671	86	8.0	141.0	179.0	250.92857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1400	673	85	6.0	143.0	178.0	231.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1398	673	86	4.5	121.0	173.0	245.54545454545456	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1395	672	86	4.0	115.0	179.0	249.2222222222222	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1396	673	86	4.5	115.0	160.0	248.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1393	672	86	2.0	138.0	178.0	246.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1394	672	86	4.0	115.0	179.0	249.2222222222222	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1397	673	86	4.5	143.0	178.0	246.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1399	673	85	6.0	143.0	178.0	231.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1404	673	86	4.5	119.0	170.0	206.60000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1402	673	85	6.0	116.0	174.0	183.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1403	673	86	5.5	114.0	177.0	183.72727272727272	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1401	673	85	6.0	116.0	174.0	183.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1405	674	85	3.0	142.0	166.0	188.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1420	674	85	2.0	111.0	158.0	235.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1418	674	85	2.0	111.0	158.0	235.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
1419	674	85	2.0	111.0	158.0	235.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11Apr25/Experimental/041125PA_experimental_part04.mp4
