frame,tank1,tank2,tank3,overall
1,77.209,103.261,152.318,106.179
2,77.332,103.408,152.511,106.327
3,77.331,103.303,152.525,106.292
4,77.336,103.408,152.649,106.361
5,77.325,103.446,152.643,106.368
6,77.400,103.573,152.735,106.472
7,77.422,103.481,152.678,106.435
8,77.480,103.475,152.821,106.496
9,77.379,103.397,152.677,106.390
10,77.422,103.527,152.705,106.460
11,77.496,103.460,152.778,106.483
12,77.464,103.530,152.704,106.475
13,77.424,103.462,152.541,106.394
14,77.463,103.496,152.695,106.457
15,77.437,103.495,152.630,106.432
16,77.495,103.571,152.550,106.458
17,77.535,103.477,152.771,106.500
18,77.516,103.579,152.762,106.529
19,77.560,103.552,152.832,106.553
20,77.497,103.501,152.783,106.496
21,77.493,103.527,152.605,106.458
22,77.509,103.639,152.677,106.524
23,77.501,103.512,152.547,106.441
24,77.578,103.669,152.821,106.595
25,77.550,103.670,152.664,106.544
26,77.587,103.681,152.694,106.567
27,77.522,103.621,152.801,106.552
28,77.526,103.564,152.641,106.498
29,77.500,103.595,152.658,106.501
30,77.514,103.626,152.837,106.559
31,77.533,103.651,152.747,106.566
32,77.488,103.554,152.558,106.454
33,77.496,103.547,152.590,106.466
34,77.482,103.563,152.624,106.476
35,77.465,103.471,152.626,106.436
36,77.494,103.527,152.630,106.466
37,77.433,103.524,152.673,106.456
38,77.542,103.687,152.688,106.563
39,77.467,103.467,152.636,106.440
40,77.468,103.453,152.438,106.379
41,77.549,103.591,152.671,106.524
42,77.632,103.588,152.793,106.582
43,77.458,103.646,152.750,106.536
44,77.541,103.600,152.685,106.523
45,77.554,103.680,152.623,106.545
46,77.553,103.672,152.795,106.581
47,77.491,103.601,152.825,106.549
48,77.556,103.738,152.895,106.636
49,77.464,103.535,152.813,106.509
50,77.516,103.546,152.730,106.506
51,77.533,103.529,152.694,106.495
52,77.545,103.580,152.717,106.526
53,77.473,103.490,152.617,106.438
54,77.569,103.674,152.770,106.584
55,77.575,103.543,152.656,106.512
56,77.572,103.585,152.709,106.539
57,77.504,103.608,152.652,106.507
58,77.622,103.606,152.689,106.561
59,77.576,103.681,152.737,106.579
60,77.597,103.728,152.704,106.591
61,77.628,103.646,152.790,106.602
62,77.660,103.731,152.798,106.645
63,77.638,103.749,152.787,106.640
64,77.612,103.763,152.965,106.679
65,77.610,103.741,152.847,106.643
66,77.712,103.832,152.936,106.740
67,77.655,103.739,152.924,106.685
68,77.665,103.784,152.828,106.672
69,77.619,103.619,152.919,106.625
70,77.677,103.631,152.794,106.612
71,77.694,103.837,153.080,106.776
72,77.753,103.908,153.014,106.801
73,77.783,103.953,153.203,106.884
74,77.849,103.840,153.025,106.810
75,77.776,103.787,153.171,106.808
76,77.720,103.777,153.147,106.784
77,77.687,103.706,152.984,106.705
78,77.681,103.731,152.900,106.682
79,77.609,103.588,152.701,106.547
80,77.614,103.660,152.854,106.622
81,77.712,103.691,152.815,106.650
82,77.811,103.819,152.936,106.772
83,77.775,103.772,152.907,106.737
84,77.744,103.811,152.965,106.751
85,77.698,103.693,152.932,106.684
86,77.762,103.736,152.783,106.680
87,77.718,103.763,152.992,106.727
88,77.744,103.785,152.994,106.744
89,77.653,103.766,152.985,106.702
90,77.660,103.662,152.863,106.635
91,77.653,103.713,152.631,106.586
92,77.668,103.717,152.894,106.665
93,77.584,103.645,152.818,106.589
94,77.744,103.754,152.792,106.683
95,77.712,103.648,152.839,106.648
96,77.751,103.839,153.016,106.777
97,77.748,103.678,152.738,106.638
98,77.842,103.786,153.058,106.796
99,77.782,103.682,152.855,106.685
100,77.765,103.747,152.962,106.726
101,77.761,103.721,153.098,106.757
102,77.741,103.763,152.979,106.734
103,77.872,103.853,153.143,106.854
104,77.910,103.998,153.263,106.949
105,77.870,103.998,153.392,106.977
106,77.978,104.037,153.571,107.071
107,77.934,104.072,153.597,107.079
108,78.027,104.117,153.580,107.127
109,77.965,104.146,153.509,107.102
110,78.036,104.069,153.597,107.119
111,78.031,104.087,153.564,107.114
112,78.029,104.125,153.631,107.141
113,78.152,104.154,153.716,107.216
114,78.025,104.135,153.647,107.147
115,78.083,104.129,153.562,107.141
116,78.057,104.164,153.577,107.156
117,78.046,104.053,153.618,107.118
118,78.117,104.084,153.759,107.198
119,78.056,104.090,153.638,107.143
120,78.191,104.272,153.798,107.292
121,78.144,104.272,153.897,107.303
122,78.199,104.367,154.072,107.410
123,78.227,104.383,154.055,107.418
124,78.372,104.435,154.234,107.536
125,78.353,104.454,154.308,107.560
126,78.425,104.463,154.327,107.590
127,78.374,104.537,154.390,107.618
128,78.432,104.495,154.521,107.656
129,78.480,104.605,154.422,107.688
130,78.452,104.595,154.510,107.702
131,78.531,104.710,154.602,107.795
132,78.567,104.779,154.689,107.855
133,78.583,104.659,154.847,107.860
134,78.627,104.941,154.900,107.995
135,78.650,104.702,154.826,107.894
136,78.654,104.923,154.931,108.005
137,78.630,104.912,155.005,108.008
138,78.707,105.010,155.052,108.082
139,78.622,104.975,155.172,108.071
140,78.670,105.037,154.994,108.060
141,78.701,105.149,155.307,108.197
142,78.909,105.247,155.710,108.420
143,78.889,105.353,155.804,108.480
144,78.931,105.356,155.959,108.535
145,79.041,105.447,155.923,108.596
146,79.012,105.564,155.997,108.650
147,79.030,105.518,156.207,108.697
148,79.116,105.704,156.392,108.845
149,79.054,105.565,156.160,108.711
150,79.089,105.718,156.359,108.832
151,79.092,105.672,156.150,108.761
152,79.186,105.754,156.527,108.924
153,79.248,105.908,156.680,109.048
154,79.294,105.912,156.859,109.112
155,79.293,105.950,156.805,109.112
156,79.303,105.989,156.847,109.146
157,79.292,106.044,157.044,109.211
158,79.314,106.072,156.959,109.206
159,79.191,106.005,156.995,109.151
160,79.267,106.101,157.009,109.217
161,79.344,106.131,157.164,109.296
162,79.433,106.378,157.336,109.466
163,79.415,106.319,157.384,109.451
164,79.499,106.384,157.524,109.539
165,79.402,106.318,157.423,109.460
166,79.453,106.415,157.567,109.548
167,79.377,106.407,157.543,109.513
168,79.405,106.309,157.380,109.444
169,79.389,106.334,157.496,109.477
170,79.383,106.355,157.499,109.479
171,79.481,106.339,157.461,109.500
172,79.378,106.346,157.283,109.425
173,79.363,106.354,157.315,109.430
174,79.292,106.250,157.364,109.374
175,79.251,106.251,157.325,109.355
176,79.271,106.326,157.294,109.387
177,79.221,106.246,157.218,109.318
178,79.281,106.340,157.404,109.419
179,79.162,106.178,157.124,109.242
180,79.054,106.039,157.006,109.126
181,79.037,106.130,156.989,109.145
182,79.041,106.047,156.872,109.088
183,79.080,106.030,156.857,109.095
184,78.996,105.975,156.744,109.015
185,78.994,106.092,156.595,109.019
186,78.885,105.878,156.512,108.871
187,78.809,105.758,156.336,108.755
188,78.834,105.812,156.303,108.778
189,78.552,105.461,155.877,108.435
190,78.603,105.423,155.875,108.447
191,78.459,105.257,155.572,108.242
192,78.515,105.310,155.526,108.274
193,78.463,105.256,155.502,108.230
194,78.520,105.244,155.325,108.197
195,78.255,105.032,155.102,107.966
196,78.281,105.088,154.940,107.951
197,78.236,105.034,154.970,107.928
198,78.287,105.007,154.944,107.926
199,78.195,104.893,154.857,107.826
200,78.121,104.907,154.699,107.763
201,78.118,104.757,154.326,107.603
202,78.145,104.808,154.571,107.707
203,78.060,104.738,154.246,107.555
204,78.033,104.735,154.348,107.572
205,78.011,104.578,153.986,107.409
206,77.913,104.465,153.883,107.309
207,77.865,104.444,154.003,107.316
208,77.855,104.312,153.641,107.158
209,77.872,104.341,153.598,107.171
210,77.810,104.347,153.520,107.124
211,77.770,104.172,153.268,106.977
212,77.766,104.098,153.216,106.933
213,77.674,103.960,153.128,106.831
214,77.660,103.990,153.173,106.846
215,77.617,103.794,152.986,106.713
216,77.678,103.889,153.064,106.790
217,77.644,103.855,152.986,106.748
218,77.677,103.900,152.783,106.718
219,77.540,103.740,152.858,106.630
220,77.563,103.678,152.838,106.612
221,77.591,103.746,152.828,106.637
222,77.599,103.788,152.688,106.620
223,77.531,103.728,152.736,106.588
224,77.559,103.893,152.871,106.691
225,77.523,103.726,152.825,106.603
226,77.610,103.806,152.811,106.662
227,77.536,103.729,152.663,106.568
228,77.557,103.694,152.874,106.616
229,77.532,103.672,152.697,106.546
230,77.618,103.661,152.545,106.537
231,77.649,103.700,152.851,106.647
232,77.673,103.716,152.770,106.640
233,77.644,103.740,152.878,106.667
234,77.671,103.756,152.829,106.671
235,77.704,103.779,153.013,106.740
236,77.644,103.757,152.688,106.619
237,77.695,103.807,152.817,106.689
238,77.731,103.956,152.990,106.804
239,77.667,103.799,152.939,106.712
240,77.775,103.814,152.983,106.767
241,77.739,103.817,153.006,106.764
242,77.858,103.963,153.137,106.890
243,77.812,103.778,153.022,106.778
244,77.850,103.944,153.199,106.898
245,77.840,103.917,153.149,106.867
246,77.918,103.998,153.149,106.920
247,77.978,103.989,153.253,106.970
248,77.929,104.038,153.305,106.984
249,77.986,104.099,153.539,107.085
