frame	brightness
0	0.005555555555555556
300	84.20903477044753
600	82.9594480613426
900	82.80590784143519
1200	83.59031949266975
1500	83.43008994020062
1800	83.38462866512346
2100	83.43869068287037
2400	83.17761839313272
2700	82.53369044174383
3000	81.93001470871914
3300	84.05292920524691
3600	83.79682002314814
3900	85.38251736111111
4200	83.41810281635803
4500	83.55058352623458
4800	81.23814863040124
5100	83.17747347608025
5400	84.46529320987655
5700	83.31717857831791
6000	83.62712818287038
6300	83.74462432484569
6600	82.28819613233024
6900	83.25488257137346
7200	83.70493344907408
7500	83.28579065393518
7800	84.11272593557099
8100	83.52376663773148
8400	83.8753940007716
8700	84.26401957947532
9000	83.4596964216821
9300	84.22552613811729
9600	82.6753252797068
9900	83.64194999035495
10200	83.38149064429012
10500	84.41208043981482
10800	83.29465084876543
11100	82.80179615162037
11400	84.2400318287037
11700	82.31245081018518
12000	83.49886140046297
12300	83.32709900655864
12600	82.44209948881173
12900	83.65319902584876
13200	83.16555121527777
13500	84.26607301311729
13800	82.48618176118828
14100	82.73278139467592
14400	83.36387152777777
14700	82.19331380208334
15000	83.13555000964506
15300	82.45080873842593
15600	83.84110894097222
15900	82.66628134645062
16200	81.60160517939815
16500	82.01004701967592
16800	80.72659891010802
17100	82.15080150462963
17400	81.37707658179012
17700	81.72569203317902
18000	81.37823350694444
18300	81.32263937114197
18600	80.45170597029322
18900	81.27545910493828
19200	80.28115837191358
19500	80.46790605709877
19800	80.49795548804012
20100	79.26271267361112
20400	80.49068889853395
20700	78.94282455632717
21000	79.25702184606482
21300	78.34044367283951
21600	80.31143205054012
21900	79.82234423225309
22200	80.0945011091821
22500	78.8586205150463
22800	79.34225525655864
23100	78.0734765625
23400	76.92860170717593
23700	76.58134331597222
24000	77.29174744405864
24300	76.23956548996914
24600	76.49468557098766
24900	77.74282262731482
25200	75.62554832175925
25500	76.04526668595679
25800	77.21999300733025
26100	76.29650704089507
26400	74.08297694830247
26700	72.24840374228395
27000	75.25084972993827
27300	74.83917679398148
27600	74.89294921875
27900	72.52566165123457
28200	73.8573386863426
28500	73.80844473379629
28800	73.41096257716049
29100	72.37420404128086
29400	73.49752989969136
29700	71.56374951774691
